Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Yearly Total
1995,5.12,4.89,4.5,6.66,4.26,2.61,1.46,2.63,2.72,0.89,0.82,3.01,36.14
1994,2.1,6.98,4.37,1.28,6.49,2.38,3.2,4.48,1.05,11.76,1.1,7.3,52.49
1993,5.66,4.94,4.33,4.34,3.54,8.89,0,0.61,2.02,3.37,4.38,1.86,43.94
1992,5.2,4.66,5.45,1.26,2.96,3.05,3.2,3.07,2.57,4.26,6.02,6.74,48.44
1991,5.76,4.93,5.31,12.32,6.61,6.99,1.89,4.11,3.23,3.35,5.28,8.48,68.26
1990,6.54,4.74,3.9,6.16,8.4,1.81,3.39,3.19,6.12,6.51,6.32,4.57,61.65
1989,3.74,4.32,10.25,2.2,8.4,7.87,1.66,1.18,0.25,3.44,1.22,0.97,45.5
1988,1.03,3.1,5.67,0.9,0.85,4.75,2.95,2.11,1.45,3.7,5.52,3.98,36.01
1987,0.93,6.38,2.88,0.63,5.83,5.21,2.62,0.4,3.56,3.39,7.44,13.1,52.37
1986,0.54,4,0.7,5.77,7.02,6.6,0.68,4.29,4.88,5.41,4.97,6.47,51.33
1985,3.69,3.29,3.5,3.85,3.02,1.1,6.74,1.17,3.14,8.06,8.59,4.52,50.67
1984,1.89,7.15,2.88,1.58,2.74,1.75,1.75,0.84,1.35,9.34,4.83,3.42,39.52
1983,0.9,8.09,5.03,0.24,7.22,8.45,1.57,2.7,1.18,2.82,3.83,4.3,45.8
1982,3.35,3.18,2.74,3.87,5.48,4.89,1.4,0.43,0.74,6.58,6.18,6.26,45.1
1981,1.05,2.81,2.81,2.01,7.89,4.71,5.49,0.79,3.69,2.76,2.82,0.67,37.5
1980,3.62,2.69,2.67,4.35,6.15,2.11,1.38,0.95,3.26,1.96,3.58,1.53,34.25
1979,9.35,3.45,5.7,4.95,7.06,2.04,4.03,0.57,6.64,2.47,4.31,5.12,55.69
1978,4.21,2.69,3.49,1.16,4.2,0.39,2.14,1.55,0.95,1.65,5.9,2.57,30.9
1977,3.89,4.35,5.11,3.61,1.05,2.59,2.14,2.98,1.63,1.14,3.6,1.38,33.47
1976,2.3,1.79,6.62,3.97,5.68,6.47,5.87,3.13,5.06,3.24,1.13,3.9,49.16
1975,2.23,6.38,2.85,4.9,6.52,5.91,2.07,2.93,0.5,2.7,2.5,2.2,41.69
1974,7.1,1.6,3.85,3.44,4.3,3.7,0.62,3.34,9.31,5.08,3.62,2.98,48.94
1973,4.44,4.21,8.01,10.63,1.55,11.57,5.5,1.9,6.86,6.48,4.9,4.05,70.1
1972,6.1,0.7,2.09,2.11,1.19,5.74,3.68,2.0,4.99,5.3,4.4,0.87,39.17
1971,0.34,4.5,0.78,1.94,1.93,1.53,2.22,2.89,5.09,1.4,2.81,5.79,31.21
1970,1.09,4.29,3.23,3.37,0.35,2.8,4.72,0.74,5.64,10.85,1.15,3.13,41.36
1969,0.98,3.62,6.76,6.54,2.74,0.49,0.55,0.91,4.07,4.92,4.95,5.83,42.36
1968,6.48,3.8,2.71,7.15,8.74,7.45,3.96,1.48,7.39,2.06,6.74,3.81,61.77
Monthly Average,3.58,4.00,4.26,3.94,4.71,4.31,2.74,2.42,3.53,4.47,4.11,4.38,47.06
