Year,State,Geo Level,Crop Type,Season,Fertilizer Type,Amount Used (kg/ha),Total Usage (tons),Yield (tons/ha)
2009,Texas,State,Corn,Summer,NPK Compound,79.3,2084.7,5.73
2009,Texas,State,Corn,Fall,Nitrogen,147.7,7552.5,3.3
2009,Texas,State,Corn,Fall,Phosphorus,247.7,5770.2,5.0
2009,Texas,State,Corn,Fall,Potassium,214.4,3323.0,2.87
2009,Texas,State,Corn,Fall,NPK Compound,98.9,4034.8,4.49
2010,Texas,State,Corn,Spring,Nitrogen,158.2,6189.8,3.56
2010,Texas,State,Corn,Spring,Phosphorus,205.0,2975.0,3.99
2010,Texas,State,Corn,Spring,Potassium,184.0,4107.4,4.65
2010,Texas,State,Corn,Spring,NPK Compound,150.2,4351.8,3.43
2010,Texas,State,Corn,Summer,Nitrogen,152.4,8064.9,3.74
2010,Texas,State,Corn,Summer,Phosphorus,78.9,3693.9,2.34
2010,Texas,State,Corn,Summer,Potassium,153.7,8918.2,2.53
2010,Texas,State,Corn,Summer,NPK Compound,150.6,9711.3,2.74
2010,Texas,State,Corn,Fall,Nitrogen,172.5,4387.0,3.18
2010,Texas,State,Corn,Fall,Phosphorus,220.6,6617.4,5.95
2010,Texas,State,Corn,Fall,Potassium,163.7,8737.8,5.62
2010,Texas,State,Corn,Fall,NPK Compound,70.7,3431.9,4.24
2011,Texas,State,Corn,Spring,Nitrogen,140.2,1978.3,4.35
2011,Texas,State,Corn,Spring,Phosphorus,137.8,9409.8,2.36
2011,Texas,State,Corn,Spring,Potassium,238.5,1314.6,2.1
2011,Texas,State,Corn,Spring,NPK Compound,149.2,5635.2,4.77
2011,Texas,State,Corn,Summer,Nitrogen,108.8,5429.9,2.96
2011,Texas,State,Corn,Summer,Phosphorus,144.8,5183.5,3.59
2011,Texas,State,Corn,Summer,Potassium,205.5,8726.3,2.25
2011,Texas,State,Corn,Summer,NPK Compound,105.6,8764.9,3.31
2011,Texas,State,Corn,Fall,Nitrogen,166.9,7075.8,5.59
2011,Texas,State,Corn,Fall,Phosphorus,170.9,4216.7,5.51
2011,Texas,State,Corn,Fall,Potassium,101.4,7651.3,5.38
2011,Texas,State,Corn,Fall,NPK Compound,161.9,5046.7,3.23
2012,Texas,State,Corn,Spring,Nitrogen,214.5,7901.7,3.43
2012,Texas,State,Corn,Spring,Phosphorus,247.9,1771.3,3.93
2012,Texas,State,Corn,Spring,Potassium,212.7,1626.0,3.31
2012,Texas,State,Corn,Spring,NPK Compound,192.0,7398.2,4.84
2012,Texas,State,Corn,Summer,Nitrogen,74.9,3542.8,3.2
2012,Texas,State,Corn,Summer,Phosphorus,141.9,6497.2,3.25
2012,Texas,State,Corn,Summer,Potassium,67.7,6166.7,4.21
2012,Texas,State,Corn,Summer,NPK Compound,54.2,7189.5,5.7
2012,Texas,State,Corn,Fall,Nitrogen,114.3,7242.8,5.45
2012,Texas,State,Corn,Fall,Phosphorus,190.0,1041.7,2.98
2012,Texas,State,Corn,Fall,Potassium,117.7,6886.7,3.7
2012,Texas,State,Corn,Fall,NPK Compound,96.8,6698.5,4.8
2013,Texas,State,Corn,Spring,Nitrogen,113.7,7355.7,3.41
2013,Texas,State,Corn,Spring,Phosphorus,156.7,6416.9,2.07
2013,Texas,State,Corn,Spring,Potassium,117.3,8619.1,2.43
2013,Texas,State,Corn,Spring,NPK Compound,121.4,3362.8,3.84
2013,Texas,State,Corn,Summer,Nitrogen,243.6,7837.0,5.35
2013,Texas,State,Corn,Summer,Phosphorus,231.0,3960.4,5.45
2013,Texas,State,Corn,Summer,Potassium,90.8,4223.4,5.69
2013,Texas,State,Corn,Summer,NPK Compound,176.2,8507.5,2.01
2013,Texas,State,Corn,Fall,Nitrogen,122.8,5676.3,5.28
2013,Texas,State,Corn,Fall,Phosphorus,221.2,9317.8,2.76
2013,Texas,State,Corn,Fall,Potassium,161.7,1059.1,2.37
2013,Texas,State,Corn,Fall,NPK Compound,90.8,7652.9,2.16
2014,Texas,State,Corn,Spring,Nitrogen,127.2,2442.2,2.59
2014,Texas,State,Corn,Spring,Phosphorus,205.1,5243.8,4.59
2014,Texas,State,Corn,Spring,Potassium,229.5,4795.4,2.46
2014,Texas,State,Corn,Spring,NPK Compound,61.1,3413.6,3.03
2014,Texas,State,Corn,Summer,Nitrogen,126.5,5609.3,3.86
2014,Texas,State,Corn,Summer,Phosphorus,54.2,6093.9,4.39
2014,Texas,State,Corn,Summer,Potassium,182.5,6140.2,3.79
2014,Texas,State,Corn,Summer,NPK Compound,63.4,2438.7,4.39
2014,Texas,State,Corn,Fall,Nitrogen,195.8,7245.3,5.26
2014,Texas,State,Corn,Fall,Phosphorus,162.6,3142.0,4.78
2014,Texas,State,Corn,Fall,Potassium,78.4,3936.9,6.0
2014,Texas,State,Corn,Fall,NPK Compound,136.5,2315.1,2.65
2015,Texas,State,Corn,Spring,Nitrogen,53.2,8890.5,5.19
2015,Texas,State,Corn,Spring,Phosphorus,116.5,5351.4,5.03
2015,Texas,State,Corn,Spring,Potassium,106.5,3941.0,3.39
2015,Texas,State,Corn,Spring,NPK Compound,151.6,1720.7,4.66
2015,Texas,State,Corn,Summer,Nitrogen,50.2,1243.5,5.79
2015,Texas,State,Corn,Summer,Phosphorus,85.2,4623.4,4.37
2015,Texas,State,Corn,Summer,Potassium,97.8,8240.5,2.59
2015,Texas,State,Corn,Summer,NPK Compound,169.0,8788.8,5.62
2015,Texas,State,Corn,Fall,Nitrogen,228.0,6966.2,4.02
2015,Texas,State,Corn,Fall,Phosphorus,221.2,7689.4,3.61
2015,Texas,State,Corn,Fall,Potassium,227.1,2127.6,4.67
2015,Texas,State,Corn,Fall,NPK Compound,164.2,7110.5,3.26
2016,Texas,State,Corn,Spring,Nitrogen,215.3,8266.8,5.18
2016,Texas,State,Corn,Spring,Phosphorus,113.2,1516.5,4.37
2016,Texas,State,Corn,Spring,Potassium,244.1,3189.2,3.29
2016,Texas,State,Corn,Spring,NPK Compound,205.4,7362.4,5.16
2016,Texas,State,Corn,Summer,Nitrogen,155.6,8140.4,4.41
2016,Texas,State,Corn,Summer,Phosphorus,214.5,4103.4,2.94
2016,Texas,State,Corn,Summer,Potassium,197.1,7489.9,5.98
2016,Texas,State,Corn,Summer,NPK Compound,228.8,2139.6,2.21
2016,Texas,State,Corn,Fall,Nitrogen,243.0,3128.5,3.12
2016,Texas,State,Corn,Fall,Phosphorus,56.4,9030.6,3.87
2016,Texas,State,Corn,Fall,Potassium,137.8,3218.7,5.76
2016,Texas,State,Corn,Fall,NPK Compound,177.5,4867.5,5.42
2017,Texas,State,Corn,Spring,Nitrogen,96.6,2834.6,3.92
2017,Texas,State,Corn,Spring,Phosphorus,230.9,8243.7,3.29
2017,Texas,State,Corn,Spring,Potassium,198.9,9650.7,3.42
2017,Texas,State,Corn,Spring,NPK Compound,216.6,3290.6,5.4
2017,Texas,State,Corn,Summer,Nitrogen,191.8,7239.2,5.63
2017,Texas,State,Corn,Summer,Phosphorus,165.2,2613.1,4.46
2017,Texas,State,Corn,Summer,Potassium,129.0,5065.5,5.81
2017,Texas,State,Corn,Summer,NPK Compound,129.2,5449.9,4.15
2017,Texas,State,Corn,Fall,Nitrogen,102.0,7605.8,4.84
2017,Texas,State,Corn,Fall,Phosphorus,202.1,2144.9,4.09
2017,Texas,State,Corn,Fall,Potassium,196.4,3127.8,2.94
2017,Texas,State,Corn,Fall,NPK Compound,65.2,9481.2,3.63
2018,Texas,State,Corn,Spring,Nitrogen,88.1,1383.6,5.27
2018,Texas,State,Corn,Spring,Phosphorus,146.6,7207.8,5.83
2018,Texas,State,Corn,Spring,Potassium,172.5,5769.7,2.14
2018,Texas,State,Corn,Spring,NPK Compound,202.4,1013.2,2.02
2018,Texas,State,Corn,Summer,Nitrogen,63.3,9488.3,4.52
2018,Texas,State,Corn,Summer,Phosphorus,139.8,3326.6,2.67
2018,Texas,State,Corn,Summer,Potassium,98.3,8179.3,5.46
2018,Texas,State,Corn,Summer,NPK Compound,147.7,3264.8,5.35
2018,Texas,State,Corn,Fall,Nitrogen,186.8,8122.1,2.49
2018,Texas,State,Corn,Fall,Phosphorus,188.7,5014.2,5.42
2018,Texas,State,Corn,Fall,Potassium,100.4,7468.4,4.18
2018,Texas,State,Corn,Fall,NPK Compound,222.9,4030.9,3.04
2019,Texas,State,Corn,Spring,Nitrogen,80.5,7372.2,2.2
2019,Texas,State,Corn,Spring,Phosphorus,113.9,5915.7,3.14
2019,Texas,State,Corn,Spring,Potassium,133.6,2646.9,2.27
2019,Texas,State,Corn,Spring,NPK Compound,91.9,7100.3,5.01
2019,Texas,State,Corn,Summer,Nitrogen,86.0,1137.1,4.55
2019,Texas,State,Corn,Summer,Phosphorus,91.2,6997.9,3.94
2019,Texas,State,Corn,Summer,Potassium,89.0,1053.5,3.56
2019,Texas,State,Corn,Summer,NPK Compound,137.6,2517.9,2.32
2019,Texas,State,Corn,Fall,Nitrogen,249.6,5239.8,3.11
2019,Texas,State,Corn,Fall,Phosphorus,189.4,9151.3,2.52
2019,Texas,State,Corn,Fall,Potassium,52.9,4095.3,2.6
2019,Texas,State,Corn,Fall,NPK Compound,173.0,9577.2,2.06
2020,Texas,State,Corn,Spring,Nitrogen,114.8,2659.9,2.76
2020,Texas,State,Corn,Spring,Phosphorus,62.7,2313.6,4.74
2020,Texas,State,Corn,Spring,Potassium,112.1,2971.2,5.84
2020,Texas,State,Corn,Spring,NPK Compound,162.8,7174.1,4.51
2020,Texas,State,Corn,Summer,Nitrogen,118.9,3475.5,2.33
2020,Texas,State,Corn,Summer,Phosphorus,52.4,9828.4,5.41
2020,Texas,State,Corn,Summer,Potassium,95.5,1223.8,4.84
2020,Texas,State,Corn,Summer,NPK Compound,245.6,2845.9,4.25
2020,Texas,State,Corn,Fall,Nitrogen,170.5,1126.7,3.09
2020,Texas,State,Corn,Fall,Phosphorus,248.0,7190.4,2.12
2020,Texas,State,Corn,Fall,Potassium,70.0,4735.0,2.02
2020,Texas,State,Corn,Fall,NPK Compound,65.4,6881.3,5.43
2021,Texas,State,Corn,Spring,Nitrogen,54.3,3328.9,3.67
2021,Texas,State,Corn,Spring,Phosphorus,92.0,7262.3,5.78
2021,Texas,State,Corn,Spring,Potassium,111.9,7142.2,5.77
2021,Texas,State,Corn,Spring,NPK Compound,223.6,5790.2,3.63
2021,Texas,State,Corn,Summer,Nitrogen,137.9,9970.7,2.9
2021,Texas,State,Corn,Summer,Phosphorus,130.2,7723.1,5.31
2021,Texas,State,Corn,Summer,Potassium,238.4,8608.6,3.42
2021,Texas,State,Corn,Summer,NPK Compound,200.6,6932.8,2.13
2021,Texas,State,Corn,Fall,Nitrogen,52.4,5104.8,3.73
2021,Texas,State,Corn,Fall,Phosphorus,144.0,5235.8,5.52
2021,Texas,State,Corn,Fall,Potassium,105.4,3812.2,3.02
2021,Texas,State,Corn,Fall,NPK Compound,175.2,4844.9,3.01
2022,Texas,State,Corn,Spring,Nitrogen,128.5,1959.6,2.56
2022,Texas,State,Corn,Spring,Phosphorus,158.0,3345.6,4.2
2022,Texas,State,Corn,Spring,Potassium,110.7,4889.7,5.85
2022,Texas,State,Corn,Spring,NPK Compound,248.5,2469.9,5.17
2022,Texas,State,Corn,Summer,Nitrogen,122.7,5616.2,2.13
2022,Texas,State,Corn,Summer,Phosphorus,210.3,5919.3,4.35
2022,Texas,State,Corn,Summer,Potassium,127.0,4421.1,5.13
2022,Texas,State,Corn,Summer,NPK Compound,113.8,6209.5,4.35
2022,Texas,State,Corn,Fall,Nitrogen,62.6,2163.4,2.29
2022,Texas,State,Corn,Fall,Phosphorus,232.7,1467.2,2.34
2022,Texas,State,Corn,Fall,Potassium,169.2,8954.7,3.19
2022,Texas,State,Corn,Fall,NPK Compound,124.6,9654.7,5.07
2023,Texas,State,Corn,Spring,Nitrogen,188.4,4594.4,3.85
2023,Texas,State,Corn,Spring,Phosphorus,146.7,7728.7,5.52
2023,Texas,State,Corn,Spring,Potassium,98.9,8990.1,3.42
2023,Texas,State,Corn,Spring,NPK Compound,67.2,8384.8,4.31
2023,Texas,State,Corn,Summer,Nitrogen,102.4,8310.8,4.26
2023,Texas,State,Corn,Summer,Phosphorus,155.2,3294.1,5.5
2023,Texas,State,Corn,Summer,Potassium,100.9,3565.6,4.75
2023,Texas,State,Corn,Summer,NPK Compound,194.9,3530.6,2.58
2023,Texas,State,Corn,Fall,Nitrogen,51.3,3636.4,2.36
2023,Texas,State,Corn,Fall,Phosphorus,194.7,8389.0,3.31
2023,Texas,State,Corn,Fall,Potassium,85.6,7053.5,4.76
2023,Texas,State,Corn,Fall,NPK Compound,89.2,5679.0,5.48
